,y_true,y_pred,y_true_label,y_pred_label
111,1,1,AFRICAN GIANT SWALLOWTAIL,AFRICAN GIANT SWALLOWTAIL
112,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING
113,56,56,PURPLISH COPPER,PURPLISH COPPER
114,16,16,CHESTNUT,CHESTNUT
115,16,16,CHESTNUT,CHESTNUT
116,28,28,EASTERN PINE ELFIN,EASTERN PINE ELFIN
117,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
118,20,30,COMMON BANDED AWL,GOLD BANDED
119,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
120,57,26,QUESTION MARK,EASTERN COMA
121,58,58,RED ADMIRAL,RED ADMIRAL
122,60,60,RED POSTMAN,RED POSTMAN
123,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
124,59,59,RED CRACKER,RED CRACKER
125,65,65,SOOTYWING,SOOTYWING
126,48,48,ORCHARD SWALLOW,ORCHARD SWALLOW
127,17,17,CLEOPATRA,CLEOPATRA
128,54,54,POPINJAY,POPINJAY
129,4,4,APPOLLO,APPOLLO
130,62,62,SCARCE SWALLOW,SCARCE SWALLOW
131,36,36,IPHICLUS SISTER,IPHICLUS SISTER
132,59,59,RED CRACKER,RED CRACKER
133,26,57,EASTERN COMA,QUESTION MARK
134,14,14,CAIRNS BIRDWING,CAIRNS BIRDWING
135,51,51,PEACOCK,PEACOCK
136,32,32,GREAT JAY,GREAT JAY
137,0,0,ADONIS,ADONIS
138,45,45,MOURNING CLOAK,MOURNING CLOAK
139,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
140,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
141,0,0,ADONIS,ADONIS
142,7,7,BANDED PEACOCK,BANDED PEACOCK
143,67,67,STRAITED QUEEN,STRAITED QUEEN
144,50,50,PAPER KITE,PAPER KITE
145,22,22,COPPER TAIL,COPPER TAIL
146,59,59,RED CRACKER,RED CRACKER
147,68,65,TROPICAL LEAFWING,SOOTYWING
148,52,31,PINE WHITE,GREAT EGGFLY
149,47,47,ORANGE TIP,ORANGE TIP
150,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
151,37,37,JULIA,JULIA
152,23,23,CRECENT,CRECENT
153,4,4,APPOLLO,APPOLLO
154,50,50,PAPER KITE,PAPER KITE
155,54,54,POPINJAY,POPINJAY
156,27,8,EASTERN DAPPLE WHITE,BECKERS WHITE
157,10,10,BLUE MORPHO,BLUE MORPHO
158,57,57,QUESTION MARK,QUESTION MARK
159,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
160,67,67,STRAITED QUEEN,STRAITED QUEEN
161,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
162,55,55,PURPLE HAIRSTREAK,PURPLE HAIRSTREAK
163,51,51,PEACOCK,PEACOCK
164,30,30,GOLD BANDED,GOLD BANDED
165,15,73,CHECQUERED SKIPPER,YELLOW SWALLOW TAIL
166,48,48,ORCHARD SWALLOW,ORCHARD SWALLOW
167,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
168,46,46,ORANGE OAKLEAF,ORANGE OAKLEAF
169,4,4,APPOLLO,APPOLLO
170,70,70,ULYSES,ULYSES
171,32,32,GREAT JAY,GREAT JAY
172,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE
173,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
174,47,47,ORANGE TIP,ORANGE TIP
175,39,39,MALACHITE,MALACHITE
176,74,74,ZEBRA LONG WING,ZEBRA LONG WING
177,0,0,ADONIS,ADONIS
178,15,15,CHECQUERED SKIPPER,CHECQUERED SKIPPER
179,2,2,AMERICAN SNOOT,AMERICAN SNOOT
180,59,59,RED CRACKER,RED CRACKER
181,18,18,CLODIUS PARNASSIAN,CLODIUS PARNASSIAN
182,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
183,67,67,STRAITED QUEEN,STRAITED QUEEN
184,67,67,STRAITED QUEEN,STRAITED QUEEN
185,13,13,CABBAGE WHITE,CABBAGE WHITE
186,19,39,CLOUDED SULPHUR,MALACHITE
187,4,4,APPOLLO,APPOLLO
188,16,16,CHESTNUT,CHESTNUT
189,9,9,BLACK HAIRSTREAK,BLACK HAIRSTREAK
190,44,44,MONARCH,MONARCH
191,22,22,COPPER TAIL,COPPER TAIL
192,2,2,AMERICAN SNOOT,AMERICAN SNOOT
193,63,63,SILVER SPOT SKIPPER,SILVER SPOT SKIPPER
194,65,65,SOOTYWING,SOOTYWING
195,3,3,AN 88,AN 88
196,65,65,SOOTYWING,SOOTYWING
197,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
198,41,41,MESTRA,MESTRA
199,47,47,ORANGE TIP,ORANGE TIP
200,7,7,BANDED PEACOCK,BANDED PEACOCK
201,19,19,CLOUDED SULPHUR,CLOUDED SULPHUR
202,18,18,CLODIUS PARNASSIAN,CLODIUS PARNASSIAN
203,4,4,APPOLLO,APPOLLO
204,18,18,CLODIUS PARNASSIAN,CLODIUS PARNASSIAN
205,3,3,AN 88,AN 88
206,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
207,3,3,AN 88,AN 88
208,28,28,EASTERN PINE ELFIN,EASTERN PINE ELFIN
209,69,48,TWO BARRED FLASHER,ORCHARD SWALLOW
210,51,51,PEACOCK,PEACOCK
211,24,24,CRIMSON PATCH,CRIMSON PATCH
212,12,12,BROWN SIPROETA,BROWN SIPROETA
213,49,49,PAINTED LADY,PAINTED LADY
214,41,41,MESTRA,MESTRA
215,48,48,ORCHARD SWALLOW,ORCHARD SWALLOW
216,33,33,GREEN CELLED CATTLEHEART,GREEN CELLED CATTLEHEART
217,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
218,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
219,64,64,SLEEPY ORANGE,SLEEPY ORANGE
220,62,62,SCARCE SWALLOW,SCARCE SWALLOW
221,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
222,49,49,PAINTED LADY,PAINTED LADY
223,12,12,BROWN SIPROETA,BROWN SIPROETA
224,26,57,EASTERN COMA,QUESTION MARK
225,52,52,PINE WHITE,PINE WHITE
226,45,45,MOURNING CLOAK,MOURNING CLOAK
227,22,22,COPPER TAIL,COPPER TAIL
228,4,18,APPOLLO,CLODIUS PARNASSIAN
229,2,2,AMERICAN SNOOT,AMERICAN SNOOT
230,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
231,63,63,SILVER SPOT SKIPPER,SILVER SPOT SKIPPER
232,28,28,EASTERN PINE ELFIN,EASTERN PINE ELFIN
233,1,1,AFRICAN GIANT SWALLOWTAIL,AFRICAN GIANT SWALLOWTAIL
234,54,65,POPINJAY,SOOTYWING
235,43,36,MILBERTS TORTOISESHELL,IPHICLUS SISTER
236,45,45,MOURNING CLOAK,MOURNING CLOAK
237,33,7,GREEN CELLED CATTLEHEART,BANDED PEACOCK
238,12,12,BROWN SIPROETA,BROWN SIPROETA
239,1,1,AFRICAN GIANT SWALLOWTAIL,AFRICAN GIANT SWALLOWTAIL
240,20,20,COMMON BANDED AWL,COMMON BANDED AWL
241,71,71,VICEROY,VICEROY
242,49,49,PAINTED LADY,PAINTED LADY
243,5,5,ATALA,ATALA
244,29,29,ELBOWED PIERROT,ELBOWED PIERROT
245,54,54,POPINJAY,POPINJAY
246,73,73,YELLOW SWALLOW TAIL,YELLOW SWALLOW TAIL
247,44,44,MONARCH,MONARCH
248,37,6,JULIA,BANDED ORANGE HELICONIAN
249,32,32,GREAT JAY,GREAT JAY
250,22,68,COPPER TAIL,TROPICAL LEAFWING
251,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
252,26,26,EASTERN COMA,EASTERN COMA
253,13,13,CABBAGE WHITE,CABBAGE WHITE
254,62,62,SCARCE SWALLOW,SCARCE SWALLOW
255,69,69,TWO BARRED FLASHER,TWO BARRED FLASHER
256,12,12,BROWN SIPROETA,BROWN SIPROETA
257,17,17,CLEOPATRA,CLEOPATRA
258,2,2,AMERICAN SNOOT,AMERICAN SNOOT
259,41,41,MESTRA,MESTRA
260,47,47,ORANGE TIP,ORANGE TIP
261,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
262,20,69,COMMON BANDED AWL,TWO BARRED FLASHER
263,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
264,29,29,ELBOWED PIERROT,ELBOWED PIERROT
265,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
266,55,55,PURPLE HAIRSTREAK,PURPLE HAIRSTREAK
267,25,25,DANAID EGGFLY,DANAID EGGFLY
268,8,38,BECKERS WHITE,LARGE MARBLE
269,38,38,LARGE MARBLE,LARGE MARBLE
270,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
271,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
272,12,12,BROWN SIPROETA,BROWN SIPROETA
273,59,59,RED CRACKER,RED CRACKER
274,25,25,DANAID EGGFLY,DANAID EGGFLY
275,55,55,PURPLE HAIRSTREAK,PURPLE HAIRSTREAK
276,27,27,EASTERN DAPPLE WHITE,EASTERN DAPPLE WHITE
277,38,38,LARGE MARBLE,LARGE MARBLE
278,10,10,BLUE MORPHO,BLUE MORPHO
279,72,72,WOOD SATYR,WOOD SATYR
280,1,1,AFRICAN GIANT SWALLOWTAIL,AFRICAN GIANT SWALLOWTAIL
281,31,31,GREAT EGGFLY,GREAT EGGFLY
282,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
283,24,24,CRIMSON PATCH,CRIMSON PATCH
284,29,29,ELBOWED PIERROT,ELBOWED PIERROT
285,19,22,CLOUDED SULPHUR,COPPER TAIL
286,17,17,CLEOPATRA,CLEOPATRA
287,57,57,QUESTION MARK,QUESTION MARK
288,19,19,CLOUDED SULPHUR,CLOUDED SULPHUR
289,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE
290,72,72,WOOD SATYR,WOOD SATYR
291,70,70,ULYSES,ULYSES
292,4,4,APPOLLO,APPOLLO
293,39,39,MALACHITE,MALACHITE
294,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
295,19,19,CLOUDED SULPHUR,CLOUDED SULPHUR
296,54,54,POPINJAY,POPINJAY
297,58,58,RED ADMIRAL,RED ADMIRAL
298,8,8,BECKERS WHITE,BECKERS WHITE
299,4,4,APPOLLO,APPOLLO
300,38,38,LARGE MARBLE,LARGE MARBLE
301,10,10,BLUE MORPHO,BLUE MORPHO
302,46,57,ORANGE OAKLEAF,QUESTION MARK
303,47,47,ORANGE TIP,ORANGE TIP
304,47,47,ORANGE TIP,ORANGE TIP
305,39,39,MALACHITE,MALACHITE
306,7,7,BANDED PEACOCK,BANDED PEACOCK
307,71,71,VICEROY,VICEROY
308,0,0,ADONIS,ADONIS
309,33,33,GREEN CELLED CATTLEHEART,GREEN CELLED CATTLEHEART
310,50,50,PAPER KITE,PAPER KITE
311,41,41,MESTRA,MESTRA
312,64,64,SLEEPY ORANGE,SLEEPY ORANGE
313,5,5,ATALA,ATALA
314,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
315,21,21,COMMON WOOD-NYMPH,COMMON WOOD-NYMPH
316,38,38,LARGE MARBLE,LARGE MARBLE
317,55,20,PURPLE HAIRSTREAK,COMMON BANDED AWL
318,25,25,DANAID EGGFLY,DANAID EGGFLY
319,58,49,RED ADMIRAL,PAINTED LADY
320,60,60,RED POSTMAN,RED POSTMAN
321,49,49,PAINTED LADY,PAINTED LADY
322,38,38,LARGE MARBLE,LARGE MARBLE
323,73,73,YELLOW SWALLOW TAIL,YELLOW SWALLOW TAIL
324,68,68,TROPICAL LEAFWING,TROPICAL LEAFWING
325,4,4,APPOLLO,APPOLLO
326,50,50,PAPER KITE,PAPER KITE
327,47,47,ORANGE TIP,ORANGE TIP
328,50,50,PAPER KITE,PAPER KITE
329,72,72,WOOD SATYR,WOOD SATYR
330,12,12,BROWN SIPROETA,BROWN SIPROETA
331,43,49,MILBERTS TORTOISESHELL,PAINTED LADY
332,48,48,ORCHARD SWALLOW,ORCHARD SWALLOW
333,71,71,VICEROY,VICEROY
334,74,74,ZEBRA LONG WING,ZEBRA LONG WING
335,23,23,CRECENT,CRECENT
336,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
337,74,74,ZEBRA LONG WING,ZEBRA LONG WING
338,7,7,BANDED PEACOCK,BANDED PEACOCK
339,46,34,ORANGE OAKLEAF,GREY HAIRSTREAK
340,24,24,CRIMSON PATCH,CRIMSON PATCH
341,72,72,WOOD SATYR,WOOD SATYR
342,6,6,BANDED ORANGE HELICONIAN,BANDED ORANGE HELICONIAN
343,20,20,COMMON BANDED AWL,COMMON BANDED AWL
344,71,71,VICEROY,VICEROY
345,51,51,PEACOCK,PEACOCK
346,33,33,GREEN CELLED CATTLEHEART,GREEN CELLED CATTLEHEART
347,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
348,12,12,BROWN SIPROETA,BROWN SIPROETA
349,62,62,SCARCE SWALLOW,SCARCE SWALLOW
350,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
351,20,20,COMMON BANDED AWL,COMMON BANDED AWL
352,49,49,PAINTED LADY,PAINTED LADY
353,60,60,RED POSTMAN,RED POSTMAN
354,17,17,CLEOPATRA,CLEOPATRA
355,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
356,50,50,PAPER KITE,PAPER KITE
357,52,52,PINE WHITE,PINE WHITE
358,45,45,MOURNING CLOAK,MOURNING CLOAK
359,73,73,YELLOW SWALLOW TAIL,YELLOW SWALLOW TAIL
360,65,65,SOOTYWING,SOOTYWING
361,50,50,PAPER KITE,PAPER KITE
362,70,70,ULYSES,ULYSES
363,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE
364,15,15,CHECQUERED SKIPPER,CHECQUERED SKIPPER
365,70,70,ULYSES,ULYSES
366,25,25,DANAID EGGFLY,DANAID EGGFLY
367,63,63,SILVER SPOT SKIPPER,SILVER SPOT SKIPPER
368,35,35,INDRA SWALLOW,INDRA SWALLOW
369,65,65,SOOTYWING,SOOTYWING
370,23,23,CRECENT,CRECENT
371,71,71,VICEROY,VICEROY
372,13,13,CABBAGE WHITE,CABBAGE WHITE
373,20,56,COMMON BANDED AWL,PURPLISH COPPER
374,63,63,SILVER SPOT SKIPPER,SILVER SPOT SKIPPER
375,74,74,ZEBRA LONG WING,ZEBRA LONG WING
376,39,39,MALACHITE,MALACHITE
377,74,74,ZEBRA LONG WING,ZEBRA LONG WING
378,66,66,SOUTHERN DOGFACE,SOUTHERN DOGFACE
379,33,33,GREEN CELLED CATTLEHEART,GREEN CELLED CATTLEHEART
380,72,72,WOOD SATYR,WOOD SATYR
381,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING
382,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
383,59,59,RED CRACKER,RED CRACKER
384,64,64,SLEEPY ORANGE,SLEEPY ORANGE
385,46,46,ORANGE OAKLEAF,ORANGE OAKLEAF
386,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
387,23,23,CRECENT,CRECENT
388,67,67,STRAITED QUEEN,STRAITED QUEEN
389,44,44,MONARCH,MONARCH
390,8,8,BECKERS WHITE,BECKERS WHITE
391,9,9,BLACK HAIRSTREAK,BLACK HAIRSTREAK
392,67,67,STRAITED QUEEN,STRAITED QUEEN
393,10,10,BLUE MORPHO,BLUE MORPHO
394,23,23,CRECENT,CRECENT
395,68,68,TROPICAL LEAFWING,TROPICAL LEAFWING
396,61,61,RED SPOTTED PURPLE,RED SPOTTED PURPLE
397,36,36,IPHICLUS SISTER,IPHICLUS SISTER
398,70,70,ULYSES,ULYSES
399,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR
400,36,36,IPHICLUS SISTER,IPHICLUS SISTER
401,41,41,MESTRA,MESTRA
402,14,14,CAIRNS BIRDWING,CAIRNS BIRDWING
403,19,19,CLOUDED SULPHUR,CLOUDED SULPHUR
404,58,58,RED ADMIRAL,RED ADMIRAL
405,64,64,SLEEPY ORANGE,SLEEPY ORANGE
406,15,15,CHECQUERED SKIPPER,CHECQUERED SKIPPER
407,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
408,36,31,IPHICLUS SISTER,GREAT EGGFLY
409,55,55,PURPLE HAIRSTREAK,PURPLE HAIRSTREAK
410,25,25,DANAID EGGFLY,DANAID EGGFLY
411,54,54,POPINJAY,POPINJAY
412,67,67,STRAITED QUEEN,STRAITED QUEEN
413,62,62,SCARCE SWALLOW,SCARCE SWALLOW
414,39,39,MALACHITE,MALACHITE
415,33,33,GREEN CELLED CATTLEHEART,GREEN CELLED CATTLEHEART
416,28,28,EASTERN PINE ELFIN,EASTERN PINE ELFIN
417,65,45,SOOTYWING,MOURNING CLOAK
418,7,7,BANDED PEACOCK,BANDED PEACOCK
419,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
420,17,19,CLEOPATRA,CLOUDED SULPHUR
421,64,1,SLEEPY ORANGE,AFRICAN GIANT SWALLOWTAIL
422,73,73,YELLOW SWALLOW TAIL,YELLOW SWALLOW TAIL
423,68,68,TROPICAL LEAFWING,TROPICAL LEAFWING
424,23,23,CRECENT,CRECENT
425,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
426,70,70,ULYSES,ULYSES
427,38,18,LARGE MARBLE,CLODIUS PARNASSIAN
428,27,27,EASTERN DAPPLE WHITE,EASTERN DAPPLE WHITE
429,53,53,PIPEVINE SWALLOW,PIPEVINE SWALLOW
430,14,14,CAIRNS BIRDWING,CAIRNS BIRDWING
431,18,62,CLODIUS PARNASSIAN,SCARCE SWALLOW
432,6,6,BANDED ORANGE HELICONIAN,BANDED ORANGE HELICONIAN
433,32,32,GREAT JAY,GREAT JAY
434,32,32,GREAT JAY,GREAT JAY
435,25,25,DANAID EGGFLY,DANAID EGGFLY
436,3,3,AN 88,AN 88
437,45,45,MOURNING CLOAK,MOURNING CLOAK
438,62,62,SCARCE SWALLOW,SCARCE SWALLOW
439,52,8,PINE WHITE,BECKERS WHITE
440,0,0,ADONIS,ADONIS
441,18,18,CLODIUS PARNASSIAN,CLODIUS PARNASSIAN
442,27,27,EASTERN DAPPLE WHITE,EASTERN DAPPLE WHITE
443,68,68,TROPICAL LEAFWING,TROPICAL LEAFWING
444,9,20,BLACK HAIRSTREAK,COMMON BANDED AWL
445,5,5,ATALA,ATALA
446,70,10,ULYSES,BLUE MORPHO
447,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
448,47,47,ORANGE TIP,ORANGE TIP
449,6,6,BANDED ORANGE HELICONIAN,BANDED ORANGE HELICONIAN
450,62,62,SCARCE SWALLOW,SCARCE SWALLOW
451,25,25,DANAID EGGFLY,DANAID EGGFLY
452,34,34,GREY HAIRSTREAK,GREY HAIRSTREAK
453,41,41,MESTRA,MESTRA
454,21,21,COMMON WOOD-NYMPH,COMMON WOOD-NYMPH
455,14,14,CAIRNS BIRDWING,CAIRNS BIRDWING
456,39,39,MALACHITE,MALACHITE
457,57,57,QUESTION MARK,QUESTION MARK
458,57,57,QUESTION MARK,QUESTION MARK
459,63,63,SILVER SPOT SKIPPER,SILVER SPOT SKIPPER
460,29,29,ELBOWED PIERROT,ELBOWED PIERROT
461,47,47,ORANGE TIP,ORANGE TIP
462,22,22,COPPER TAIL,COPPER TAIL
463,17,19,CLEOPATRA,CLOUDED SULPHUR
464,15,15,CHECQUERED SKIPPER,CHECQUERED SKIPPER
465,8,8,BECKERS WHITE,BECKERS WHITE
466,7,7,BANDED PEACOCK,BANDED PEACOCK
467,7,7,BANDED PEACOCK,BANDED PEACOCK
468,28,28,EASTERN PINE ELFIN,EASTERN PINE ELFIN
469,69,40,TWO BARRED FLASHER,MANGROVE SKIPPER
470,61,61,RED SPOTTED PURPLE,RED SPOTTED PURPLE
471,20,20,COMMON BANDED AWL,COMMON BANDED AWL
472,25,25,DANAID EGGFLY,DANAID EGGFLY
473,0,0,ADONIS,ADONIS
474,6,6,BANDED ORANGE HELICONIAN,BANDED ORANGE HELICONIAN
475,71,71,VICEROY,VICEROY
476,41,41,MESTRA,MESTRA
477,69,69,TWO BARRED FLASHER,TWO BARRED FLASHER
478,64,64,SLEEPY ORANGE,SLEEPY ORANGE
479,43,43,MILBERTS TORTOISESHELL,MILBERTS TORTOISESHELL
480,11,11,BLUE SPOTTED CROW,BLUE SPOTTED CROW
481,13,13,CABBAGE WHITE,CABBAGE WHITE
482,21,72,COMMON WOOD-NYMPH,WOOD SATYR
483,24,24,CRIMSON PATCH,CRIMSON PATCH
484,64,64,SLEEPY ORANGE,SLEEPY ORANGE
485,20,65,COMMON BANDED AWL,SOOTYWING
486,45,45,MOURNING CLOAK,MOURNING CLOAK
487,49,49,PAINTED LADY,PAINTED LADY
488,21,21,COMMON WOOD-NYMPH,COMMON WOOD-NYMPH
489,70,7,ULYSES,BANDED PEACOCK
490,67,67,STRAITED QUEEN,STRAITED QUEEN
491,12,12,BROWN SIPROETA,BROWN SIPROETA
492,8,38,BECKERS WHITE,LARGE MARBLE
493,15,63,CHECQUERED SKIPPER,SILVER SPOT SKIPPER
494,24,24,CRIMSON PATCH,CRIMSON PATCH
495,28,28,EASTERN PINE ELFIN,EASTERN PINE ELFIN
496,60,33,RED POSTMAN,GREEN CELLED CATTLEHEART
497,8,8,BECKERS WHITE,BECKERS WHITE
498,49,49,PAINTED LADY,PAINTED LADY
499,40,40,MANGROVE SKIPPER,MANGROVE SKIPPER
500,44,44,MONARCH,MONARCH
501,24,24,CRIMSON PATCH,CRIMSON PATCH
502,67,67,STRAITED QUEEN,STRAITED QUEEN
