,y_true,y_pred,y_true_label,y_pred_label,filename,label
237,33,7,GREEN CELLED CATTLEHEART,BANDED PEACOCK,Image_2046.jpg,GREEN CELLED CATTLEHEART
248,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_4828.jpg,JULIA
250,22,68,COPPER TAIL,TROPICAL LEAFWING,Image_1963.jpg,COPPER TAIL
262,20,69,COMMON BANDED AWL,TWO BARRED FLASHER,Image_2486.jpg,COMMON BANDED AWL
268,8,38,BECKERS WHITE,LARGE MARBLE,Image_5080.jpg,BECKERS WHITE
285,19,22,CLOUDED SULPHUR,COPPER TAIL,Image_2965.jpg,CLOUDED SULPHUR
289,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE,Image_874.jpg,EASTERN DAPPLE WHITE
302,46,57,ORANGE OAKLEAF,QUESTION MARK,Image_5951.jpg,ORANGE OAKLEAF
317,55,20,PURPLE HAIRSTREAK,COMMON BANDED AWL,Image_1648.jpg,PURPLE HAIRSTREAK
319,58,49,RED ADMIRAL,PAINTED LADY,Image_185.jpg,RED ADMIRAL
331,43,49,MILBERTS TORTOISESHELL,PAINTED LADY,Image_5041.jpg,MILBERTS TORTOISESHELL
339,46,34,ORANGE OAKLEAF,GREY HAIRSTREAK,Image_5236.jpg,ORANGE OAKLEAF
363,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE,Image_6446.jpg,EASTERN DAPPLE WHITE
373,20,56,COMMON BANDED AWL,PURPLISH COPPER,Image_4515.jpg,COMMON BANDED AWL
381,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING,Image_5153.jpg,ORANGE OAKLEAF
399,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_2849.jpg,SOUTHERN DOGFACE
408,36,31,IPHICLUS SISTER,GREAT EGGFLY,Image_4863.jpg,IPHICLUS SISTER
417,65,45,SOOTYWING,MOURNING CLOAK,Image_1027.jpg,SOOTYWING
420,17,19,CLEOPATRA,CLOUDED SULPHUR,Image_4359.jpg,CLEOPATRA
421,64,1,SLEEPY ORANGE,AFRICAN GIANT SWALLOWTAIL,Image_1167.jpg,SLEEPY ORANGE
427,38,18,LARGE MARBLE,CLODIUS PARNASSIAN,Image_3065.jpg,LARGE MARBLE
431,18,62,CLODIUS PARNASSIAN,SCARCE SWALLOW,Image_3845.jpg,CLODIUS PARNASSIAN
439,52,8,PINE WHITE,BECKERS WHITE,Image_1735.jpg,PINE WHITE
444,9,20,BLACK HAIRSTREAK,COMMON BANDED AWL,Image_5037.jpg,BLACK HAIRSTREAK
446,70,10,ULYSES,BLUE MORPHO,Image_6180.jpg,ULYSES
463,17,19,CLEOPATRA,CLOUDED SULPHUR,Image_3803.jpg,CLEOPATRA
469,69,40,TWO BARRED FLASHER,MANGROVE SKIPPER,Image_1647.jpg,TWO BARRED FLASHER
482,21,72,COMMON WOOD-NYMPH,WOOD SATYR,Image_1046.jpg,COMMON WOOD-NYMPH
485,20,65,COMMON BANDED AWL,SOOTYWING,Image_1656.jpg,COMMON BANDED AWL
489,70,7,ULYSES,BANDED PEACOCK,Image_890.jpg,ULYSES
492,8,38,BECKERS WHITE,LARGE MARBLE,Image_2805.jpg,BECKERS WHITE
493,15,63,CHECQUERED SKIPPER,SILVER SPOT SKIPPER,Image_3856.jpg,CHECQUERED SKIPPER
496,60,33,RED POSTMAN,GREEN CELLED CATTLEHEART,Image_4137.jpg,RED POSTMAN
521,30,42,GOLD BANDED,METALMARK,Image_96.jpg,GOLD BANDED
546,65,42,SOOTYWING,METALMARK,Image_2921.jpg,SOOTYWING
564,25,31,DANAID EGGFLY,GREAT EGGFLY,Image_6111.jpg,DANAID EGGFLY
578,21,72,COMMON WOOD-NYMPH,WOOD SATYR,Image_1309.jpg,COMMON WOOD-NYMPH
593,56,22,PURPLISH COPPER,COPPER TAIL,Image_3142.jpg,PURPLISH COPPER
599,48,25,ORCHARD SWALLOW,DANAID EGGFLY,Image_4465.jpg,ORCHARD SWALLOW
605,27,38,EASTERN DAPPLE WHITE,LARGE MARBLE,Image_5308.jpg,EASTERN DAPPLE WHITE
621,11,65,BLUE SPOTTED CROW,SOOTYWING,Image_3443.jpg,BLUE SPOTTED CROW
632,40,33,MANGROVE SKIPPER,GREEN CELLED CATTLEHEART,Image_2982.jpg,MANGROVE SKIPPER
637,5,11,ATALA,BLUE SPOTTED CROW,Image_5981.jpg,ATALA
645,25,11,DANAID EGGFLY,BLUE SPOTTED CROW,Image_5856.jpg,DANAID EGGFLY
647,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_2800.jpg,JULIA
653,26,57,EASTERN COMA,QUESTION MARK,Image_4446.jpg,EASTERN COMA
659,51,43,PEACOCK,MILBERTS TORTOISESHELL,Image_3035.jpg,PEACOCK
668,40,11,MANGROVE SKIPPER,BLUE SPOTTED CROW,Image_6318.jpg,MANGROVE SKIPPER
670,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_3742.jpg,JULIA
690,20,65,COMMON BANDED AWL,SOOTYWING,Image_5515.jpg,COMMON BANDED AWL
694,31,12,GREAT EGGFLY,BROWN SIPROETA,Image_2403.jpg,GREAT EGGFLY
714,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_1054.jpg,SLEEPY ORANGE
717,42,33,METALMARK,GREEN CELLED CATTLEHEART,Image_1549.jpg,METALMARK
727,22,68,COPPER TAIL,TROPICAL LEAFWING,Image_635.jpg,COPPER TAIL
728,21,72,COMMON WOOD-NYMPH,WOOD SATYR,Image_3540.jpg,COMMON WOOD-NYMPH
729,31,11,GREAT EGGFLY,BLUE SPOTTED CROW,Image_2610.jpg,GREAT EGGFLY
741,17,0,CLEOPATRA,ADONIS,Image_6142.jpg,CLEOPATRA
764,42,69,METALMARK,TWO BARRED FLASHER,Image_1479.jpg,METALMARK
770,61,53,RED SPOTTED PURPLE,PIPEVINE SWALLOW,Image_5925.jpg,RED SPOTTED PURPLE
779,2,30,AMERICAN SNOOT,GOLD BANDED,Image_308.jpg,AMERICAN SNOOT
786,30,20,GOLD BANDED,COMMON BANDED AWL,Image_3749.jpg,GOLD BANDED
788,22,56,COPPER TAIL,PURPLISH COPPER,Image_2550.jpg,COPPER TAIL
798,9,34,BLACK HAIRSTREAK,GREY HAIRSTREAK,Image_337.jpg,BLACK HAIRSTREAK
800,35,31,INDRA SWALLOW,GREAT EGGFLY,Image_1094.jpg,INDRA SWALLOW
825,12,31,BROWN SIPROETA,GREAT EGGFLY,Image_521.jpg,BROWN SIPROETA
834,56,22,PURPLISH COPPER,COPPER TAIL,Image_4697.jpg,PURPLISH COPPER
840,56,22,PURPLISH COPPER,COPPER TAIL,Image_2525.jpg,PURPLISH COPPER
853,64,8,SLEEPY ORANGE,BECKERS WHITE,Image_143.jpg,SLEEPY ORANGE
865,28,68,EASTERN PINE ELFIN,TROPICAL LEAFWING,Image_3756.jpg,EASTERN PINE ELFIN
881,56,57,PURPLISH COPPER,QUESTION MARK,Image_2750.jpg,PURPLISH COPPER
888,35,31,INDRA SWALLOW,GREAT EGGFLY,Image_5556.jpg,INDRA SWALLOW
909,64,19,SLEEPY ORANGE,CLOUDED SULPHUR,Image_984.jpg,SLEEPY ORANGE
914,19,66,CLOUDED SULPHUR,SOUTHERN DOGFACE,Image_5020.jpg,CLOUDED SULPHUR
916,32,48,GREAT JAY,ORCHARD SWALLOW,Image_3206.jpg,GREAT JAY
929,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_4781.jpg,JULIA
936,9,20,BLACK HAIRSTREAK,COMMON BANDED AWL,Image_5449.jpg,BLACK HAIRSTREAK
940,53,35,PIPEVINE SWALLOW,INDRA SWALLOW,Image_3896.jpg,PIPEVINE SWALLOW
941,17,13,CLEOPATRA,CABBAGE WHITE,Image_3546.jpg,CLEOPATRA
948,26,57,EASTERN COMA,QUESTION MARK,Image_1143.jpg,EASTERN COMA
965,26,57,EASTERN COMA,QUESTION MARK,Image_909.jpg,EASTERN COMA
974,35,73,INDRA SWALLOW,YELLOW SWALLOW TAIL,Image_889.jpg,INDRA SWALLOW
992,34,22,GREY HAIRSTREAK,COPPER TAIL,Image_1021.jpg,GREY HAIRSTREAK
1000,6,60,BANDED ORANGE HELICONIAN,RED POSTMAN,Image_6068.jpg,BANDED ORANGE HELICONIAN
1001,46,68,ORANGE OAKLEAF,TROPICAL LEAFWING,Image_1615.jpg,ORANGE OAKLEAF
1006,42,33,METALMARK,GREEN CELLED CATTLEHEART,Image_2077.jpg,METALMARK
1037,54,35,POPINJAY,INDRA SWALLOW,Image_5752.jpg,POPINJAY
1051,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_1533.jpg,SOUTHERN DOGFACE
1071,2,57,AMERICAN SNOOT,QUESTION MARK,Image_5022.jpg,AMERICAN SNOOT
1076,29,16,ELBOWED PIERROT,CHESTNUT,Image_4017.jpg,ELBOWED PIERROT
1108,35,48,INDRA SWALLOW,ORCHARD SWALLOW,Image_4543.jpg,INDRA SWALLOW
1120,56,57,PURPLISH COPPER,QUESTION MARK,Image_806.jpg,PURPLISH COPPER
1131,60,7,RED POSTMAN,BANDED PEACOCK,Image_1327.jpg,RED POSTMAN
1141,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_734.jpg,JULIA
1163,3,50,AN 88,PAPER KITE,Image_321.jpg,AN 88
1173,73,53,YELLOW SWALLOW TAIL,PIPEVINE SWALLOW,Image_2963.jpg,YELLOW SWALLOW TAIL
1182,55,0,PURPLE HAIRSTREAK,ADONIS,Image_4990.jpg,PURPLE HAIRSTREAK
1196,32,50,GREAT JAY,PAPER KITE,Image_4163.jpg,GREAT JAY
1204,66,19,SOUTHERN DOGFACE,CLOUDED SULPHUR,Image_1659.jpg,SOUTHERN DOGFACE
1208,55,20,PURPLE HAIRSTREAK,COMMON BANDED AWL,Image_2128.jpg,PURPLE HAIRSTREAK
1214,40,7,MANGROVE SKIPPER,BANDED PEACOCK,Image_2349.jpg,MANGROVE SKIPPER
1220,22,56,COPPER TAIL,PURPLISH COPPER,Image_5313.jpg,COPPER TAIL
1230,37,6,JULIA,BANDED ORANGE HELICONIAN,Image_1596.jpg,JULIA
1236,1,39,AFRICAN GIANT SWALLOWTAIL,MALACHITE,Image_3634.jpg,AFRICAN GIANT SWALLOWTAIL
1242,10,21,BLUE MORPHO,COMMON WOOD-NYMPH,Image_1847.jpg,BLUE MORPHO
1258,65,7,SOOTYWING,BANDED PEACOCK,Image_4200.jpg,SOOTYWING
1271,38,13,LARGE MARBLE,CABBAGE WHITE,Image_2293.jpg,LARGE MARBLE
1286,40,53,MANGROVE SKIPPER,PIPEVINE SWALLOW,Image_1781.jpg,MANGROVE SKIPPER
1288,19,64,CLOUDED SULPHUR,SLEEPY ORANGE,Image_5118.jpg,CLOUDED SULPHUR
1291,59,60,RED CRACKER,RED POSTMAN,Image_2280.jpg,RED CRACKER
